model,metric,original_value,bootstrap_mean,bootstrap_std,ci_level,ci_lower,ci_upper,valid_bootstrap_samples,total_bootstrap_samples
Logistic Regression,accuracy,0.6818181818181818,0.6810666666666668,0.05713298993634088,0.95,0.5606060606060606,0.7878787878787878,10000,10000
Logistic Regression,f1,0.72,0.7160225350652574,0.05934579040300036,0.95,0.5915492957746479,0.825,10000,10000
Logistic Regression,roc_auc,0.7817460317460317,0.780850664378809,0.0573478391272183,0.95,0.6577369505494506,0.8832644628099173,10000,10000
Logistic Regression,log_loss,0.868689306444776,0.869752288363391,0.1661441635232642,0.95,0.5637381859418971,1.2121294249090935,10000,10000
Logistic Regression,brier_score,0.24748845705256753,0.24791338281837116,0.0422901102928965,0.95,0.1672321503950689,0.3342234796115807,10000,10000
Random Forest,accuracy,0.696969696969697,0.6960590909090909,0.05662347369098171,0.95,0.5905303030303064,0.803030303030303,10000,10000
Random Forest,f1,0.75,0.7464583669098681,0.054806430271000836,0.95,0.631578947368421,0.8444444444444444,10000,10000
Random Forest,roc_auc,0.7519841269841271,0.7507178046936984,0.06483795225168618,0.95,0.6175918021680217,0.868812380801017,10000,10000
Random Forest,log_loss,0.5721015366814132,0.573351199482964,0.06634638281669776,0.95,0.45101589019940996,0.7072600426473181,10000,10000
Random Forest,brier_score,0.19367167581872755,0.1941560213098519,0.02703524593146058,0.95,0.1441095584937565,0.24878911472856702,10000,10000
Neural Network,accuracy,0.6363636363636364,0.6353454545454545,0.05908314782067269,0.95,0.5151515151515151,0.7424242424242424,10000,10000
Neural Network,f1,0.7272727272727273,0.7240325017966345,0.05393206342109103,0.95,0.6097560975609756,0.8210526315789474,10000,10000
Neural Network,roc_auc,0.6438492063492064,0.6431010363735884,0.06810773329087537,0.95,0.5072314049586777,0.7715599925499524,10000,10000
Neural Network,log_loss,0.6694251217113985,0.6705909207713754,0.06845816682317724,0.95,0.5413789012805994,0.808870459555516,10000,10000
Neural Network,brier_score,0.23697897889453165,0.23744046371498026,0.02703013018421071,0.95,0.18581106006735895,0.2912125605236031,10000,10000
