model_1,model_2,metric,difference_definition,original_better_oriented_difference,bootstrap_mean_difference,ci_level,ci_lower,ci_upper,ci_excludes_zero,ci_direction,probability_model_1_better,probability_model_2_better,probability_tie,bootstrap_two_sided_tail_p,valid_bootstrap_samples
Logistic Regression,Random Forest,accuracy,positive = model_1 better,-0.015151515151515249,-0.014992424242424243,0.95,-0.09090909090909094,0.06060606060606066,False,uncertain / overlaps zero,0.2862,0.5696,0.1442,0.8608,10000
Logistic Regression,Random Forest,f1,positive = model_1 better,-0.030000000000000027,-0.030435831844610777,0.95,-0.11029597773842648,0.04204405125694107,False,uncertain / overlaps zero,0.2187,0.7707,0.0106,0.4586,10000
Logistic Regression,Random Forest,roc_auc,positive = model_1 better,0.029761904761904656,0.030132859685110622,0.95,-0.03461786114221732,0.0978160225442836,False,uncertain / overlaps zero,0.8196,0.1763,0.0041,0.3608,10000
Logistic Regression,Random Forest,log_loss,positive = model_1 better,-0.2965877697633629,-0.29640108888042704,0.95,-0.5635827057619982,-0.065591377062686,True,Random Forest better,0.0042,0.9958,0.0,0.0084,10000
Logistic Regression,Random Forest,brier_score,positive = model_1 better,-0.05381678123383998,-0.053757361508519216,0.95,-0.10880957719023597,-0.003923010252156938,True,Random Forest better,0.0172,0.9828,0.0,0.0344,10000
Logistic Regression,Neural Network,accuracy,positive = model_1 better,0.045454545454545414,0.04572121212121213,0.95,-0.10606060606060608,0.19696969696969702,False,uncertain / overlaps zero,0.685,0.2499,0.0651,0.63,10000
Logistic Regression,Neural Network,f1,positive = model_1 better,-0.0072727272727273196,-0.008009966731377,0.95,-0.14009815343101384,0.12195731897852327,False,uncertain / overlaps zero,0.4503,0.5458,0.0039,0.9084,10000
Logistic Regression,Neural Network,roc_auc,positive = model_1 better,0.13789682539682535,0.13774962800522073,0.95,-0.011958534621578072,0.28413310695364585,False,uncertain / overlaps zero,0.9647,0.0349,0.0004,0.0706,10000
Logistic Regression,Neural Network,log_loss,positive = model_1 better,-0.1992641847333776,-0.19916136759201558,0.95,-0.5323129801242712,0.10015092817775782,False,uncertain / overlaps zero,0.1057,0.8943,0.0,0.2114,10000
Logistic Regression,Neural Network,brier_score,positive = model_1 better,-0.010509478158035879,-0.010472919103390925,0.95,-0.09548199855592181,0.07069320656927808,False,uncertain / overlaps zero,0.4088,0.5912,0.0,0.8176,10000
Random Forest,Neural Network,accuracy,positive = model_1 better,0.06060606060606066,0.06071363636363637,0.95,-0.09090909090909094,0.21212121212121215,False,uncertain / overlaps zero,0.7558,0.1894,0.0548,0.4884,10000
Random Forest,Neural Network,f1,positive = model_1 better,0.022727272727272707,0.02242586511323378,0.95,-0.10606060606060608,0.1517794432760604,False,uncertain / overlaps zero,0.6317,0.3628,0.0055,0.7366,10000
Random Forest,Neural Network,roc_auc,positive = model_1 better,0.1081349206349207,0.1076167683201101,0.95,-0.045657211028631836,0.255436780690537,False,uncertain / overlaps zero,0.9194,0.0791,0.0015,0.1612,10000
Random Forest,Neural Network,log_loss,positive = model_1 better,0.09732358502998528,0.09723972128841146,0.95,-0.04864882556655117,0.23945903513717484,False,uncertain / overlaps zero,0.9056,0.0944,0.0,0.1888,10000
Random Forest,Neural Network,brier_score,positive = model_1 better,0.043307303075804104,0.0432844424051283,0.95,-0.01574332329395878,0.10252786596253832,False,uncertain / overlaps zero,0.9225,0.0775,0.0,0.155,10000
