model,bin,mean_predicted_probability,observed_team_a_win_rate
Logistic Regression,1,0.006583063855252346,0.21428571428571427
Logistic Regression,2,0.10961800979670124,0.6923076923076923
Logistic Regression,3,0.5030018528737206,0.5384615384615384
Logistic Regression,4,0.8569452844380792,0.7692307692307693
Logistic Regression,5,0.9805383054045964,1.0
Random Forest,1,0.24215571468836955,0.35714285714285715
Random Forest,2,0.39857551640419536,0.46153846153846156
Random Forest,3,0.6357628991095058,0.6153846153846154
Random Forest,4,0.8172508650788102,0.9230769230769231
Random Forest,5,0.8998928134980205,0.8461538461538461
Neural Network,1,0.2617399622928787,0.5
Neural Network,2,0.47815681910717206,0.6153846153846154
Neural Network,3,0.6085850797155804,0.6153846153846154
Neural Network,4,0.7775443618589957,0.5384615384615384
Neural Network,5,0.9267096189978858,0.9230769230769231
